Región del Libertador Gral. Bernardo O’Higgins;Doñihue;Exploraciones Lonquimay S.A.;Proyecto Hidroeléctrico Alazán;Hidráulica;30;11.5;-52.197297;-69.757551
Región del Biobío;Los Angeles;BUTLER CORPORATION SPA;El Avellano Solar;Solar Fotovoltaica;8;8.0;-37.0;-72.0
Región del Maule;Teno;Guanaquito Solar SpA;Arboleda Solar;Solar Fotovoltaica;80;110.24;-34.844657;-71.184804
Región de Antofagasta;María Elena;Fotovoltaica Norte Grande 1 SpA;Actualización Proyecto La Cruz Solar;Solar Fotovoltaica;110;112.58;-22.0;-70.0
Región de Ñuble;Yungay;Parque Solar Pequén SpA;Parque Solar Pequén;Solar Fotovoltaica;10.6;11.76;-37.082546;-72.028026
Región del Maule;Molina;PFV La Molina Spa;Planta Fotovoltaica PARAGUAY;Solar Fotovoltaica;13;10.8;-35.11075439;-71.33112509
Región del Maule;Talca;FELIPE SOLAR SpA;FV Conde;Solar Fotovoltaica;13;10.8;-35.381574;-71.571586
Región de Antofagasta;María Elena;Planta Solar La Pampina SpA;Planta Solar La Pampina;Solar Fotovoltaica;140;200.0;-22.368904;-69.601274
Región de Ñuble;San Carlos;Montejo Energía SpA;Planta Solar Fotovoltaica Mutupin;Solar Fotovoltaica;10;9.0;-36.439412;-71.876266
Región de Coquimbo;Ovalle;Anakena SpA;Parque Fotovoltaico Anakena;Solar Fotovoltaica;12;9.0;-30.62466;-71.15001
Región del Biobío;Los Angeles;Pedro Solar SpA;Parque Fotovoltaico María Dolores;Solar Fotovoltaica;10;10.64;-37.456893;-72.391183
Región de Antofagasta;María Elena;Colbún S.A.;Planta Fotovoltaica Inti Pacha;Solar Fotovoltaica;788;788.0;-22.192909;-69.592916
Región del Biobío;Negrete;Parque Eólico Coihue SPA;Proyecto Eólico Coihue;Eólica;30;21.0;-37.625533;-72.641722
Región de Los Lagos;Calbuco-Maullín;Engie Energía Chile S.A.;Parque Eólico Los Portones;Eólica;250;167.4;-41.676295;-73.28045
Región Metropolitana de Santiago;Padre Hurtado;QUELTEHUE SPA;Parque Fotovoltaico Queltehue;Solar Fotovoltaica;12;9.0;-33.573096;-70.787043
Región del Biobío;Laja;Andina Solar 10 SPA;Parque Fotovoltaico Laja;Solar Fotovoltaica;10;10.79;-37.282807;-72.645291
Región del Libertador Gral. Bernardo O’Higgins;Requinoa;Lirios de Chumaquito SpA;Parque Fotovoltaico Lirios de Chumaquito;Solar Fotovoltaica;10;11.56;-34.3159;-70.7514
Región del Maule;Linares;LINARES GENERACION SPA;Nueva Central Solar Fotovoltaica Linares;Solar Fotovoltaica;12.1;10.78;-35.8550837;-71.62491873
Región de Los Ríos;Paillaco;ENERGIA RENOVABLE AGATA SPA;Parque Fotovoltaico Pichirropulli;Solar Fotovoltaica;15;10.54;-40.130883;-72.860655
Región del Libertador Gral. Bernardo O’Higgins;Coltauco;Blue Solar Tres SpA;Parque Solar Coltauco;Solar Fotovoltaica;9.4;10.5;-34.222955;-70.992786
Región de Los Lagos;Ancud;WIND 2 SPA;Instalación de 3 Aerogeneradores en Sector Colonia Belbén;Eólica;17;16.2;-42.131548;-73.734848
Región Metropolitana de Santiago;Quilicura-Lampa;Grupo energy Lancuyen spa;Planta Solar Santo Tomás;Solar Fotovoltaica;10;11.0;-33.351237;-70.772512
Región del Maule;Talca;Mercedes Solar SpA;Parque Fotovoltaico FV Maule;Solar Fotovoltaica;13;11.014;-35.379038;-71.624081
Región de Valparaíso;Catemu;Catemu Solar SpA;Parque Solar Fotovoltaico Yahutela;Solar Fotovoltaica;8.5;9.3912;-32.78659;-70.97299
Región de Antofagasta;Antofagasta;GR Tara SpA;Planta Fotovoltaica Ckilir;Solar Fotovoltaica;11.5;10.725;-23.603968;-70.274973
Región de Ñuble;Yungay;Parque Solar Lucero SpA;Parque Solar Lucero;Solar Fotovoltaica;9;10.03;-37.059529;-72.003928
Región de Antofagasta;Taltal;ENGIE Energía Chile S.A.;Parque Eólico Lomas de Taltal;Eólica;424;353.4;-25.0;-70.0
Región de Tarapacá;Alto Hospicio;Andromeda Solar SpA;Parque Fotovoltaico Andrómeda;Solar Fotovoltaica;12;9.0;-20.0;-70.0
Región Metropolitana de Santiago;Til-Til;PSF DON DARÍO SPA;Proyecto Solar Fotovoltaico Don Darío;Solar Fotovoltaica;180;235.9;-33.153726;-70.847061
